Reprezentacja;Posiadanie_pilki;Bramki_zdobyte;Bramki_stracone;Strzaly;Strzaly_celne;Rzuty_rozne
KATAR;47,7;0,8;0,8;0,2;4,1;4,2
EKWADOR;51,5;0,6;0,6;10,0;3,8;5,9
SENEGAL;52,4;1,7;1,0;10,3;5,8;5,3
HOLANDIA;57,2;2,3;1,1;12,0;5,1;4,0
ANGLIA;58,4;2,0;1,1;12,6;5,9;5,6
IRAN;54,5;1,3;0,6;12,3;4,4;5,0
USA;53,6;1,7;0,5;11,3;4,6;6,2
WALIA;38,4;1,1;1,3;11,0;3,3;4,0
ARGENTYNA;58,2;2,1;0,2;13,1;5,8;3,6
ARABIA SAUDYJSKA;52,9;0,6;0,4;7,4;3,1;4,4
MEKSYK;54,4;1,3;0,9;11,2;4,5;5,5
POLSKA;47,1;1,4;1,3;9,4;3,6;4,5
FRANCJA;57,1;2,1;0,8;17,0;6,6;5,4
AUSTRALIA;52,2;1,4;0,8;10,3;3,7;4,3
DANIA;50,7;1,7;1,2;11,0;4,3;6,1
TUNEZJA;50,5;1,3;0,6;8,6;3,3;4,4
HISZPANIA;71,1;1,7;0,6;11,7;5,0;4,9
KOSTARYKA;40,6;1,5;0,6;9,5;4,0;3,7
NIEMCY;64,8;2,2;1,1;14,2;5,8;5,2
JAPONIA;55,3;2,0;0,7;10,2;6,0;7,1
BELGIA;62,8;1,9;1,2;12,9;4,6;5,6
KANADA;57,0;1,9;0,8;13,8;4,5;6,7
MAROKO;53,3;1,7;0,8;14,9;6,7;4,7
CHORWACJA;55,9;1,6;0,2;9,8;3,7;4,2
BRAZYLIA;59,3;2,8;0,3;19,5;8,3;6,5
SERBIA;56,2;2,0;0,9;11,8;5,1;4,3
SZWAJCARIA;49,0;1,3;1,3;9,0;3,7;4,5
KAMERUN;52,7;0,9;1,0;9,7;3,7;4,7
PORTUGALIA;52,9;1,6;0,2;12,9;5,3;5,6
GHANA;49,0;1,2;0,9;4,6;2,3;3,4
URUGWAJ;50,0;1,7;0,6;13,3;4,7;5,1
KOREA POLUDNIOWA;59,7;1,5;1,3;10,4;4,1;6,2
